ID		      n           mean        sigma       rob_mean    rob_sigma            max            min
1464.WFI.dat      41         22.645        0.138         22.658        0.112         23.091         22.370
1467.WFI.dat      31         22.835        0.168         22.809        0.136         23.388         22.398
1468.WFI.dat      27         23.322        0.361         23.327        0.310         24.298         22.695
1469.WFI.dat      11         22.517        0.247         22.498        0.205         23.123         22.233
146.WFI.dat      90         21.111        0.171         21.094        0.159         22.012         20.792
1470.WFI.dat      70         24.214        0.114         24.198        0.110         24.593         23.977
1471.WFI.dat      76         23.337        0.158         23.335        0.135         24.015         22.940
1472.WFI.dat      76         23.508        0.206         23.491        0.227         24.112         23.165
1473.WFI.dat      66         22.840        0.334         22.852        0.278         23.805         21.979
1474.WFI.dat      74         23.508        0.434         23.464        0.363         24.884         22.611
1475.WFI.dat       2         22.925        0.526         22.925        0.256         23.297         22.553
1476.WFI.dat      49         22.973        0.298         22.977        0.213         24.073         22.234
1477.WFI.dat      58         22.858        0.317         22.860        0.294         23.822         22.156
1478.WFI.dat      31         22.962        0.268         22.927        0.247         23.776         22.457
1479.WFI.dat       5         22.204        0.665         22.107        0.606         23.246         21.412
147.WFI.dat      89         22.629        0.221         22.647        0.210         23.195         21.952
1480.WFI.dat      79         23.390        0.145         23.394        0.132         23.829         23.019
1481.WFI.dat      37         24.060        0.142         24.061        0.156         24.403         23.837
1482.WFI.dat      47         22.417        0.238         22.416        0.272         22.913         21.988
1485.WFI.dat      38         24.050        0.557         23.991        0.555         25.400         22.753
1486.WFI.dat      71         22.871        0.179         22.883        0.170         23.362         22.507
1487.WFI.dat       3         23.743        0.202         23.761        0.149         23.900         23.516
1489.WFI.dat      68         23.328        0.314         23.342        0.326         24.158         22.606
148.WFI.dat      66         22.415        0.079         22.405        0.068         22.648         22.114
1490.WFI.dat      18         23.134        0.206         23.186        0.190         23.547         22.767
1493.WFI.dat      31         23.598        0.495         23.522        0.500         24.748         22.631
1494.WFI.dat      22         23.008        0.192         22.973        0.137         23.657         22.728
1496.WFI.dat      54         22.632        0.196         22.635        0.168         23.061         22.118
1497.WFI.dat       6         23.240        0.309         23.111        0.299         23.809         23.009
1498.WFI.dat      10         23.303        0.296         23.281        0.250         23.937         22.827
1499.WFI.dat      71         23.198        0.336         23.111        0.382         24.090         22.662
149.WFI.dat      54         23.271        0.333         23.305        0.314         23.851         22.610
14.WFI.dat      78         19.085        0.298         19.054        0.365         19.786         18.574
1501.WFI.dat      65         22.787        0.356         22.771        0.316         24.224         22.090
